영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
더 트랩: 난간 끝에 선 남자,,매튜 채프만,2013-07-25,"투신자살,난간,신앙,종교","우리는 우주의 일부에요. 죽으면 그걸로 끝이죠.”내세를 믿지 않는 이 남자, 사랑을 위해 난간 위에 올라섰다!한 경찰이 투신자살을 하기 위해 건물 옥상의 난간에서 선 남자를 설득하기 위해 대화를 시도한다. ‘개비’라는 이름의 이 남자는 경찰에게 자신이 극단적인 선택을 하려는 이유를 설명하기 시작한다. 광적인 신앙심과 종교를 혐오하는 ‘개비’는 같은 층으로 이사온 아름다운 여인 ‘샤나’에게 매혹 당한다. 정숙하면서도 알 수 없는 묘한 매력을 풍기는 그녀는 독실한 기독교 근본주의자의 아내로서, 남편에게 한없이 순종적인 여인이다. 하지만 ‘개비’가 매니저로 있는 호텔에 취업을 하게 된 ‘샤나’는 같은 직장, 같은 빌라에서 계속해서 마주치며 자신에게 호감을 보이는 ‘개비’에게 점점 이끌리게 되고, 결국 기독교적 가치관과 남편을 저버리고 돌이킬 수 없는 선택을 하게 되는데…",
메이플쏘프,Mapplethorpe: Look at the Pictures,"펜튼 베일리,랜디 바바토",2018-06-21,,거침없고 완벽하다!”이 시대 가장 뜨거웠던 논란의 중심에 선 포토그래퍼이자 뉴욕의 아이콘 로버트 메이플쏘프 누구보다 특별하고 화려했던 뉴욕에서의 기록,
에어라인 플라이트,Airline Disaster,존 윌리스 3세,2013-07-18,"항공기,납치,테러리스트,딜레마","대통령의 동생이 조종하는 항공기가 납치당했다!남은 시간은 단 90분, 그 누구도 안전하지 않다!최상의 공기역학적 설계와 현존하는 그 어떤 항공기도 따라올 수 없는 정교함을 자랑하는 전자동 항공기 '스타퀘스트'. 미국 대통령의 남동생이 기장으로 있는 '스타퀘스트'가 처녀비행을 하던 중 테러리스트들에게 납치당한다! 테러리스트들은 미국 대통령에게 그녀의 동생과 승객들의 안전을 담보로 엄청난 거래를 하려 한다. 항공기를 격추시키느냐, 그들의 요구를 들어주느냐! 남은 시간은 단 90분, 이제 대통령은 사랑하는 동생의 목숨과 시민들의 안전 중 하나를 선택해야만 하는 엄청난 딜레마에 빠지게 되는데...",
정사,An Affair ( Jeongsa ),김정환,2014-10-30,,서점을 운영하는 성민과 발레학원 선생 가희의 사랑과 불륜을 그린 내용,
피가로의 결혼,NOZZE DI FIGARO,Met opera,2015-02-21,,피가로와 수산나의 지혜로 부인에게 애정이 식은 백작의 바람기를 혼내준다는 내용의 오페라 공연 실황,
호박과 마요네즈,Pumpkin and Mayonnaise,토미나가 마사노리,2018-09-13,"무명음악가,남자친구,전남자친구,동요,순정만화,일본만화원작","밋밋하고 투박한 나의 애인은 왜, 상처만 남기고 떠난 전 애인보다 끌리지 않는 걸까? 가수를 꿈꾸는 애인 ‘세이치’를 위해 몰래 단란주점에서 돈을 벌며 뒷바라지하지만, 세이치는 곡도 쓰지 않고 집에서 잉여처럼 지낼 뿐이다. 사랑에 헌신한다 믿고 있지만 세이치를 향한 확신이 들지 않던 그때 깊은 상처를 주고 떠난 전 애인 ‘하기오’가 나타난다. 다시 버림받을 걸 알면서도 츠치다는 하기오에게 흔들리는데…",
해커스,,세드릭 지메네즈,2014-10-01,,대선을 앞두고 프랑스 기차역에서 폭탄 테러가 일어나 해커를 통해 사건의 전모를 밝혀낸다는 내용,
메가 스파이더,,마이크 멘데즈,2014-09-12,,외계에서 온 대형 거미가 군사 연구소를 탈출하는 사건이 일어난다. 거미는 로스앤젤레스를 쑥대밭으로 만들어버리고 이를 막아내기 위해 군대가 출동하지만 대규모 공격에도 거미 박멸은 수포로 돌아간다. 이제 도시를 구해낼 유일한 희망은 해충 박멸가 알렉스 뿐. 미드'히어로즈'의 믿음직한 형사 '그렉 그룬버그'는 이번에도 세상을 구하는 히어로가 될수 있을까?,
미세스 하이드,Mrs. Hyde,세르쥬 보종,2018-05-31,"지킬앤하이드,벼락,특수능력,이중생활,양면성",벼락을 맞은 후 특별한 능력을 갖게된 한 교사의 양면성을 그린 영화,로카르노국제영화제(2017) : 여우주연상 - 이자벨 위페르
리틀 제이콥,Jacob on the Road (Riteuljeikop-Ulleongulleongbangmulgwan),유형,2012-11-08,"모험,개구쟁이,말썽꾸러기,말썽쟁이,여행,원숭이","개구쟁이 제이콥이 친구들과 박물관을 간 후, 뜻밖의 사고로 홀로 낯선 마을에 떨어지고 집으로 돌아오기 위해 모험을 벌이는 애니메이션",
뮤즈 드론즈 월드투어 실황,Muse Drones (Muse Drones World Tour),톰 커크,2018-07-12,"월드투어,공연,공연실황,밴드",영국 밴드 뮤즈의 ‘드론즈(Drones)’ 앨범 발매를 기념하는 월드투어 공연 실황 영상,
샤크어택,,스캇 휠러,2014-09-04,,겨울 스키장에 나타나 사람들을 잡아먹는 식인 상어와의 사투를 그린 이야기,
중화 명탐정,,나지량,2013-07-26,"탐정,총알,의심,자살,의혹,음모",탐정이 중국 군수공장에서 총알을 훔쳤다는 의심을 받던 여 근로자의 자살사건에 감춰진 의혹과 음모를 밝히는 내용의 영화,
불청객,The Uninvited (Bulcheonggaek),이응일,2010-09-30,"계약,고시생,납치,백수,소포,우주,자취생,수명,자취방",큰 폭발음이 나더니 어느 자취방 앞에소포상자가 떨어진다. 두 백수와 만년 고시생이 상자를 열자 4차원의 포인트맨이 나타나 은하연방 론리스타 수명은행과 계약이 성립했음을 알린다. 포인트맨이 수명을 뺏으려 하는 가운데 우주로 납치된 세 사람. 그들은 자신이 원하는 것을 찾을 수 있을까? 놀라운 비주얼의 독립장편SF환타지,
제7의 봉인,The Seventh Seal,잉마르 베르히만,2012-05-10,"연극원작, 기사, 신, 흑사병, 체스, 교회, 숲, 마녀, 광대","십자군 전쟁에 참여했다가 돌아온 안토니우스 블로크는 흑사병이 만연하여 죽음의 땅이 되어있는 고향 스웨덴의 해변에서 죽음의 방문을 받는다. 자신을 죽음이라고 소개한 그에게 블로크는 체스 내기를 하고, 죽음은 그에게 동의한다. 만일 죽음이 이긴다면 그를 따라 나설 것이요, 기사가 이긴 다면 죽음이 물러가야 한다. 승산이 없는 내기에서 정말로 블로크가 원하는 것은 체스가 진행되는 동안 신으로부터 구원에의 확신을 얻는 것이다. 죽음으로 끝나게 될 삶의 허무를 극복하기 위해 기사는 교회를 찾아가기도 하고, 마녀로 낙인이 된 소녀 옆을 지키기도 하지만 어디에도 죽음만이 보일뿐...",칸국제영화제(1957) : 심사위원대상 - 잉그마르 베르히만
아이다,,메트오페라,2019-02-02,,패전국 에티오피아의 공주 아이다와 이집트의 장군 라다메스의 비극적 사랑을 그린 오페라실황,
엽문4: 종극일전,,구예도,2013-06-27,"갈등,제자,홍콩,영춘권,시리즈,속편","영춘권의 대가인 엽문이 홍콩에 정착해 제자를 육성하는 과정과 제자간의 갈등, 다른 무술 권법자들의 도전을 통해 영춘권에 대한 열정과 애정, 인생관을 그린 내용",
오장군의 발톱,Soldier's Mementos (Ojanggunui baltop),김재한,2018-08-15,"한국희곡원작,희곡원작,희곡영화화,반전영화,반전사상,분단의아픔,남북분단","훌륭한 사람이 되길 바라는 엄마의 소망이 담긴 이름 오장군. 그는 까치골에서 사랑하는 엄마, 먹쇠와 함께 감자밭을 일구며 옆집 꽃분이에게 장가가는 것이 꿈이다. 가끔 감자밭 하늘위로 지나가는 비행기 편대를 보며 몰래 욕하기도 하던 오장군은 어느날 동쪽나라군대에서 보낸 징집영장을 받는다. 전쟁의 의미도 모른채 징집되어 훈련소에서 힘들게 훈련을 받던 오장군은 오발사고로 영창에 갇히게 되지만 전쟁의 불리함으로 오장군은 사면을 받아 영창에서 동료들과 함께 손톱, 발톱을 깍아두고는 최일선으로 떠난다.총을 무서워하고 군대에 잘 적응하지 못하는 오장군은 동쪽나라 장군의 당번병이 된다.하지만 이것은 동쪽나라 장군의 역정보공작이었고 자신도 모르는 사이 서쪽나라의 포로가 되고만다.서쪽나라는 동쪽나라에서 주입한 거짓 정보를 완전한 사실로 믿었던 오장군에게 속아서, 공격의 기회를 놓치고 마는데.....",
실버벨,Silver Bells,해롤드 크론크,2016-12-15,"승부욕,농구,스포츠기자,승리,집착,구세군,모금,크리스마스","이겨야만 사는 편집광’ 스포츠 기자 브루스는 승리에 대한 집착이 유별나다. 그러던 어느 날, 그는 아들의 농구경기에서 오판에 항의하다 결국 심판에게 부상을 입히게 되고, 구세군 사회봉사 명령을 받는다. 그러나 그의 승부욕은 엉뚱하게 모금함으로 향하고, 지나가던 행인들에게 반강제적인 기부를 강요한다. 엎친 데 덮친 격으로 뉴스앵커 자리에서도 잘린 그는 복직할 수 있는 유일한 기회를 앞두고 또다시 사고를 치고 만다. 그의 만행이 담긴 동영상은 온라인으로 급격히 퍼져나가고, 일과 가정 모두 큰 타격을 입게 되는데... 인생 최악의 위기를 맞이한 브루스! 과연 그는 어떤 크리스마스를 보내게 될까?",
지킬 앤 하이드,JEKYLL HYDE,데이비드 해셀호프,2013-03-06,"박사,이중인격,자아분열,임상시험,공연실황,지킬박사,영국소설원작",의사이자 과학자인 지킬 박사가 이사회가 거부한 임상 실험을 자신에게 실험하다 정신이 선과 악으로 분열되어 지킬과 하이드라는 이중 인격이 되자 사람들을 해치는 하이드를 없애기 위해 죽음을 택한다는 내용의 뮤지컬 공연 실황,
라이브 인 3D 휘성 : 잇츠 리얼,IT'S REAL,정성복,2010-09-30,"가수,노래,인터뷰",발라드 가수 휘성의 노래와 인터뷰를 엮은 다큐멘터리.,
아이다,AIDA,카를로 리치,2012-12-22,"이집트,공주,짝사랑,삼각관계","이집트의 라다메스 장군과 그를 짝사랑하는 이집트 공주 암네리스, 암네리스의 몸종으로 잡혀온 에티오피아 공주 아이다의 삼각관계를 축으로 전개된다. 사위가 되어 왕위를 물려받으라는 이집트 국왕의 제안을 거부하다 투옥된 라다메스는 결국 토굴 속에서 아이디와 함께 죽음을 맞이하는 내용의 오페라 공연 실황",
미피의 동물원 보물찾기,,한스 퍼크,2014-03-27,,"엄마, 아빠, 친구들과 함께 동물에 놀러간 토끼 인형 미피가 찾기놀이를 통해 지혜와 친구의 소중함을 배워가는 내용의 애니메이션",
완벽한 거짓말,A Perfect Man,얀 고즐런,2017-08-24,,"문학의 거짓 천재가 되다! 26살의 나이에 베스트셀러를 집필한 천재 작가 마티유, 하지만 그에겐 아무도 모르는 비밀이 있다.완벽한 차기작, 완벽한 거짓말을 위해!3년 동안 이렇다 할 차기작이 없어 압박에 시달리던 마티유는더 위험하고 치명적인 비밀을 만들기 시작한다.",
미친도시,(Michindosi),장태령,2018-08-30,"공무원,고군분투,뇌물","우리는 그를 영웅이라 부른다갖은 불의의 유혹과 주위 사람들의 핀잔 속에서도 꽁보리밥에 새우젓무침의 도시락을 갖고 다니며 청렴하고 정직하게 근무하는 구청 행정 공무원 병수. 불의를 보면 참지 못하는 오지랖으로 관내에 불우한 사람, 억울한 사람들의 일을 자기 일처럼 돌보다 조폭들에게 두들겨 맞고 사는 바보 같은 사내다. 그런 병수에게는 죽는 그날까지 통일만 기다리는 팔순의 아버지가 있다. 어느 날, 갖은 유혹과 협박에도 굽히지 않고 청렴하게 근무하는 병수에게 묘령의 탈북 여인 명자가 접근하게 되는데...",
카르멘,Carmen,카스퍼 홀텐,2018-07-01,"오페라,필름오페라,공연실황",조르쥬 비제의 '카르멘' 오페라 실황 영상,
미켈란젤로 : 사랑과 죽음,Michelangelo : Love and Death,데이비드 비커스태프,2018-05-31,"화가,예술가,조각가,건축가,미술가,기념비",미켈란젤로의 창작과 삶을 그린 영화,
라 트라비아타,LA TRAVIATA,휴고 드 아나,2013-07-06,"소설원작,베르디,오페라,공연실황,귀족",,
영춘권 무림 절대 고수,,장동조,2013-07-19,"쿵푸,소림사,대가,영춘권",두부 요리집 딸인 영춘이 소림사 승려에게 쿵푸를 전수받고 영춘권의 대가가 된다는 내용의 영화,
침입자들 : 로봇의 역습,,패트릭 라이언 심즈,2014-05-15,"로봇,공격,사투",가족의 안전을 담당해야할 로봇이 오작동으로 인해 가족의 안전을 위협하게 되고 로봇의 공격으로부터 살아남기 위해 사투를 벌인다는 내용,
아웃사이더,The Outsider,브라이언 A 밀러,2015-06-21,,"아프가니스탄에서 임무를 수행하던 직업군인 렉스. 그는 LA에서 딸 사만다가 약물과다 복용으로 사망했다는 소식을 듣고 LA로 날아가지만 시신은 그의 딸이 아니다. 그 때부터 딸의 행적을 추적하는데 딸이 다니던 회사를 찾아가 회장을 만나지만 사만다의 존재를 알면서도 모른 척 하는 이상한 낌새를 눈치챈다. 사만다가 마지막으로 나타났던 클럽에서 목격자를 찾던 중, 사만다를 안다는 여자 마고를 만나고 그녀와 함께 사만다의 남자친구를 찾아간다. 마지막으로 사만다가 머물렀던 곳으로 함께 향하는 그들에게 괴한이 덮치고, 괴한들을 사살한 렉스 일행은 설상가상 LA 경찰들의 추적까지 당하게 된다. 사만다가 있을지도 모르는 곳에 이르러 혈투를 벌이던 렉스는 전기충격을 받고 쓰러지면서 희미하게 자신 앞에 서있는 사만다의 모습을 보게 되는데…",
청춘학당 : 풍기문란 보쌈 야사,School of Youth: the Corruption of Morals ( cheong-chun-hak-dang: pung-gi-mul-lan bo-ssam nya-sa ),도창훈,2014-03-27,"조선시대,보쌈,스캔들,학당","조선시대를 발칵 뒤집어 놓은 남자 보쌈 스캔들!오동 골 청춘학당의 못 말리는 문제아 목원, 류, 학문은 과거급제와는 거리가 먼 학동들이다.    새 학기 봄. 남녀칠세부동석이라는 조선시대 학당에 여 학동들이 들어오면서 야릇한 분위기가 연출된다. 그러던 어느 날 밤 총각 보쌈 꾼들에게 물레방앗간으로 끌려간 목원과 류는 얼굴도 모르는 여자에게 겁간을 당하는 황당한 사건에 휘말린다.꽃 도령 3인 방의 발칙한 과학 수사가 시작된다!!다음날 아침 우물가에서 향아의 도움으로 풀려난 목원과 류는 학문과 함께 향아를 비롯해 여 학동들을 의심하며 범인 색출에 나서는데……",
탠저린,Tangerine,션 베이커,2018-01-25,,틴젤타운의 크리스마스 이브에 신디는 일하러 거리로 나선다. 그녀가 갇혀지냈던 2일 동안 동안 포주인 남자 친구가 바람을 피운 사실을 알게 되자 신디와 그녀의 친구 알렉산드라는 충격적인 소문의 진원지로 파고들어 간다. 그들의 떠들썩한 여정.,
레이스,Race,스테판 홉킨스,2016-05-25,,"“트랙 위에선 누구나 자유다!”차별과 편견을 뛰어넘은 진정한 영웅 제시 오언스의 감동실화!누구보다도 빠른 발을 가진 흑인 육상선수 제시 오언스. 피부색이 다르다는 이유로 멸시를 받지만 그의 거듭된 세계신기록 수립은 결국 국민들의 마음을 사로잡고 가장 유력한 올림픽 금메달 리스트로 주목받는다. 한편 제11회 올림픽 개최지가 베를린으로 선정되면서 히틀러는 은밀히 유대인과 유색인종의 올림픽 출전을 막으려 한다. 이러한 소문이 돌자 각국의 불참 여론이 강해지고 독일은 마지못해 평등한 올림픽을 연다고 약속하지만…1936년 베를린, 제시 오언스는 꿈에 그리던 올림픽 무대에 서게 된다. 그러나 보이지 않는 차별과 억압으로 베를린 곳곳은 팽팽한 긴장감이 흐르는데…",
언프리티 소셜 스타,,맷 스파이서,2018-02-22,,,
거룩한 분노,The Divine Order,페트라 볼프,2018-06-28,"참정권,여성참정권,역사적인투쟁,권리투쟁,여성인권","1971년, 젊은 주부이자 엄마인 노라는 평범하고 작은 스위스의 마을에서 남편과 두 아들과 함께 살고 있다. 그녀가 사는 이 시골 마을은 68혁명의 격변도 비껴간 곳이다. 노라의 삶 역시 마찬가지로, 그녀는 모두가 좋아하는 조용한 사람이었다. 1971년 2월 7일, 여성 참정권이 국민투표에 부쳐지면서 그녀의 공개적인 투쟁이 시작되기 전까지는",트라이베카 영화제(2017) : 최우수 여우주연상(국제) - 마리 루엔베르게르|2017 히혼국제영화제 장편영화 여성감독상  2017 밀밸리영화제 월드시네마 인디-은상
라스트 에너미,,R. 엘리스 프레이지어,2014-03-06,"범죄조직,잠입,잠입수사,CIA요원,범죄소탕",범죄조직에 침투하여 잠입수사하는 CIA요원이 신분이 노출되는 위기를 넘기며 범죄조직을 소탕한다는 내용의 영화,
더블,,마이클 브랜트,2012-11-29,"국경,이민자,러시아,무기밀매","두뇌 게임속에서 전설과 비밀의 실체에 한 걸음씩 다가가는데..멕시코 국경 지역 소노라를 넘어 미국으로 향하던 이민자들 중 일부가 갑자기 살해되는 일이 발생한다. 이들을 살해한 일행은 다름 아닌 이민자들 속 무리였던 러시아인들. 같은 시간 미국에선 러시아와 무기 거래를 하던 상원의원이 살해되는 사건이 발생한다. FBI 관할로 통제되던 이 사건에 CIA가 개입되고 살해 방식을 두고 20년 전 사라진 냉전 시대 소련의 최고 암살자인 카시우스의 소행으로 결론 내린다. CIA는 카시우스 전문가이자 은퇴한 요원 폴(리차드 기어)을 호출하게 된다. 폴은 상원의원 살해 현장을 보고 카시우스의 소행이 아니라고 결론을 내리지만 FBI의 카시우스 전문가인 신참 요원 벤(토퍼 그레이스)은 카시우스의 소행이 틀림없다며 그와 공동 수사를 진행하게 된다. 신참 요원의 모든 억측이 마음에 들지 않는 폴은 어느 날, CIA 국장으로부터 자신이 죽였다고 알고 있던 카시우스 일당 중 한 명인 부르투스가 살아 복역 중임을 알게 되고 벤과 함께 카시우스의 존재에 대해 알고자 교도소를 찾아 간다. 심문 도중 부르투스는 라디오에 상당한 집착을 보이고 벤은 카시우스의 정보를 얻는 대신 라디오를 부르투스에게 건네 준다. 라디오에서 배터리를 빼낸 부르투스는 배터리를 삼켜 복통을 유발, 병원에서 탈출을 하게 되고 탈출을 지켜보던 폴이 나타나 카시우스와 같은 방식으로 부르투스를 살해하며 자신이 카시우스 임을 밝히는데…",
태양의 서커스 월드 어웨이,,앤드류 아담슨,2016-01-06,,,
내 첫사랑을 너에게 바친다,,신조 타케히코,2010-08-05,"첫사랑,시한부인생",심장병으로 20살까지 살 수 밖에 없는 시한부 삶을 살던 타쿠마는 어릴적 만난 마요와 첫사랑을 하게 되고 그 사랑을 영원히 지키고자 한다.,
거짓말 섹스가 좋아2,(Geojinmal Sexgajoa  !HS 2 !HE ),진달래,2013-12-24,"남녀,섹스,돈가방",돈가방을 둘러싸고 벌어지는 남녀의 거짓말과 애정에 대해 그린 영화,
제4 이노베이터,The  !HS 4 !HE th Innovator,한명구,2014-12-18,,고생 끝에 철도분야의 고급 엔지니어가 된 여주인공이 난관에 부딪히지만 주변의 도움으로 일어선다는 내용,
트라이앵글,Triangle,크리스토퍼 스미스,2018-08-29,"표류,유령선,시간반복,뫼비우스의띠,타임루프",바다에 표류한 유령선에서 무한한 시간 반복 현상을 겪게 되는 상황을 그린 영화,
밀애,Ardor (Mil-Ae),"김인규 , 김민준",2014-07-24,,모든 걸 다 갖춘 최고의 큐레이터 윤희는 전시회 준비 과정에서 최근 각광 받고 있는 사진 작가 형석을 만나게 된다 . 한 눈에 형석에게 호감을 느낀 윤희는 그에게 100일간의 섹스 게임을 제안한다.한국판 '나인 하프 위크'의 탄생! 위험할수록 더 짜릿한 그들의 사랑은 오로지 본능이 지배할 뿐! 이제 그들에게 룰 따위는 존재하지 않는다.,
혈적자: 황제암살단,,유위강,2013-11-14,"반란군,진압,황실,암살단",반란군 진압을 위해 창설된 황실의 비밀 암살조직인 혈적자의 이야기를 그린 영화,
나폴레옹 토레스전투,,발레리아 사미엔토,2013-11-14,"나폴레옹,침공,포르투갈,저항,영국",난공불락의 요새 토레스! 나폴레옹의 대규모 침공에 대한 포르투갈과 영국의 저항. 각자 다른 사연과 경로로 토레스에 모인 그들. 토레스의 마지막 전투는 그들의 운명을 결정한다!,
화이트 타이거: 최강전차군단,,카렌 샤크나자로프,2013-10-17,"제2차세계대전,소련,군인,화상,전차,전투","제2차 세계대전이 펼쳐지던 1943년 여름, 소련군은 전차에서 온몸에 화상을 입은 군인 한 명을 발견하게 된다. 이 군인은 신체의 90%에 화상을 입었지만, 놀랍게도 완벽하게 회복됐고, 전차병으로 복귀하게 된다. 당시 소련군은 ‘화이트 타이거’라는 전설의 독일 전차로 인해 속수무책으로 기습을 당하고 있었다. 하지만 화이트 타이거의 공격으로 화상을 입었다가 기적적으로 살아난 나이데노프 하사는 전차의 이야기를 들을 수 있는 능력을 갖게 된다. 부상 회복 후 그는 화이트 타이거에 맞서 계속 전투를 벌이게 되고, 종전이 된 후에도 그는 계속해서 화이트 타이거에 맞설 준비를 한다.",
화려한 외출,Love lesson (Hwaryeohan Woichul),고경아,2013-12-05,"작곡가,소년,음악,사랑,개인교수,삼각관계",우연히 마주친 소년과 한 여인의 19금 러브 레슨!한국판  개인 교수 가 남심을 뒤흔든다!대한민국 최고의 인기를 누리고 있는 작곡가 희수(김선영)는 우연히 엘리베이터에서 열아홉 소년과 마주친다. 자신의 육감적 몸매에 흔들리는 소년의 눈빛에서 새로운 노래의 영감을 발견한 희수! 이제 그녀는 소년에게 음악을 가르친다는 핑계로 여자를 알려주기 시작한다. 시간이 흐를수록 서로에게 빠져드는 두 사람… 하지만 희수에게 음악과 사랑에 대해 알려주었던 인생의 스승 준호가 돌아오면서 세 사람의 관계는 뒤엉키기 시작하는데...?,
저속희극,,펑하오샹,2013-10-31,"에로영화,이혼,프로듀서","이혼 후, 딸을 만나기 위해 돈이 필요한 프로듀서 토는 중국 삼합회의 자금을 이용해 이제껏 없었던 별난 에로 영화를 만들기로 한다. 영화가 제작에 들어가면서 각기 다른 목적을 이루기 위한 인물들의 에로틱 소동극이 펼쳐진다. 홍콩의 여전한 악동 팡호청 감독의 유쾌한 신작!(네이버)",부천국제판타스틱영화제(2012) : 넷팩상 - 펑하오샹
붉은 바캉스 검은 웨딩 2,Red vacance black wedding  !HS 2 !HE  (Bul-geun ba-kang-seu geom-eun we-ding  !HS 2 !HE ),최위안,2013-11-28,"집착,스토커,욕망,모녀,광기,짝사랑","끝나지 않은 집착, 지독한 집착이 낳은 비극참을 수 없는 욕망이 시작된다한번도 연애를 해 본적 없는 미모의 여인 홍채는 하루도 빠지지 않고 자신이 일하는 꽃집에 들리는 등 2년 넘게 짝사랑하고 있는 점동이 귀찮기만 하다. 과한 집착과 편집증적 성향을 보이는 점동이 두렵기만 한 홍채는 결국 함께 일하는 해욱의 입을 빌어 그녀에게 약혼자가 있으니 포기하라는 통보를 하게 되고 점동은 그 말을 전한 해욱을 찌르고 달아나 버린다. 그로부터 1년 후, 점동의 존재를 잊고 평범한 삶을 살아가던 홍채 앞에 다시 점동이 나타나고 그녀의 철없는 엄마 선애에게 연인으로 접근해 홍채의 집으로 들이닥치는데 성공한다. 당황한 두 모녀에게 점동은 광기 어린 사랑을 베풀기 시작하고, 처절하면서도 잔인한 한 남자의 짝사랑, 그들의 엇갈린 사랑은 점점 파국으로 치닫게 되는데..",
정사2013,,이나라 콜마네,2014-01-02,,,
오르가즘,Fake Orgasm,조 솔,2013-12-19,"가짜,흥분,콘테스트,다큐멘터리",여성들의 가짜 흥분 콘테스트 내용을 담은 다큐멘터리,
욕망의 법칙,,자비에 빌랴베르데,2013-11-07,"격투기,댄서,바람,이별,삼각관계","격투기 무술가이자 댄서인 브루노는 여자친구인 칼라를 무척 사랑한다. 하지만 동료 댄서 레이를 만나면서 그와 사랑의 불꽃이 튀기 시작하고, 칼라 몰래 바람을 피기 시작한다. 어느날 브루노는 레이와 비밀스러운 애정행각이 칼라한테 들키게 되고, 상처받은 칼라는 브루노에게 이별을 통보한다. 브루노는 칼라에게 사과를 하며 관계를 지속시키려 노력하고, 레이 역시 칼라에게 사과를 하러 간다. 그 와중에 칼라와 레이와 사랑에 빠지게 되며 삼각관계가 만들어지는데... (제13회 서울 LGBT 필름 페스티벌)",
화양: 당대최고수전,Lovers are gamblers,주미령,2013-12-12,,"세상과 멀리 떨어져 있는 해적섬의 '화양루'. 이 섬에서는 외모, 노래, 춤 모두 빠지지않는 최고의 기녀 자매가 있다. 그러나, 언니 백소설은 온몸에 두드러기 같은 형상을 보이는 역병, 나병에 걸려있는 상태이다. 나병에 걸려있다는 사실을 들키면 섬에서 추방되기 때문에 언니가 들키지 않도록 동생인 백소상이 항상 도움을 준다. 하지만, 이 비밀은 오래가지 못하고 기방의 주인에게 발각이 된다. 기방 주인은 병을 해결하는 은밀한 방도를 알려주는데... 해적섬에서 일어나는 세 여인과 그녀들을 사랑한 사내들의 사랑이야기!",
서태지 8집: 398일의 기록,SEOTAIJI RECORD OF THE  !HS 8 !HE TH [ !HS 398 !HE ],서태지,2012-07-27,,서태지의 정규 8집 앨범인  Atomos 의 제작과정부터 앨범활동이 끝나는 날까지의 기록을 담은 다큐멘터리,
삼총사2013,,콜 S. 맥케이,2013-08-29,"삼총사,컴퓨터,한국전쟁,암호","“하나를 위한 모두, 모두를 위한 하나!” 지상 최강의 정예요원들이 정의를 위해 뭉쳤다!삼총사 아토스, 포르토스, 아라미스는 북한 미사일 기지에서 임무를 수행 중이다. 그들은 암호명 '추기경'으로 컴퓨터에 접속해 작전을 수행하던 중, 한국 민간 여객기가 표적이 된 것을 알게 된다. 삼총사는 이를 막으려 하지만 임무는 실패한다. 이 사건으로 한국과 북한은 전쟁 위기를 맞이한다. 한편 육군 범죄수사단의 달타냥 요원은 테러 공격에 대한 정보를 갖고 있다는 플랜체트를 찾아간다. 그녀는 플랜체트에게서 미국과 북한이 3일 후 전쟁을 벌일 거라는 믿기 힘든 말을 듣는다. 의혹의 눈초리로 바라보는 그녀에게 플랜체트는 암호화된 USB를 건네주다 추기경 부하들이 쏜 총에 맞고 즉사한다. 간신히 탈출한 달타냥은 USB를 챙겨 아토스를 찾아가는데...",
라임라이프,,데릭 마티니,2010-09-02,,,토론토국제영화제(2008) : FIPRESCI-상 - 데릭 마티니
청년 마르크스,The Young Karl Marx,라울 펙,2018-05-17,,"모두가 아는 이름 마르크스, 그리고 이름 뒤에 가려진 그의 젊은 날… 1844년, 아내 예니와 함께 프랑스 망명길에 오른 26세의 카를 마르크스.  파리에서 공장주의 아들이면서도 노동자 계급에 대해 연구하는 프리드리히 엥겔스를 만나게 되고,  엥겔스는 마르크스가 새로운 세계의 비전을 구상하는 것에 영향을 미친다.  수많은 폭동과 정치적 격변 속에서 경찰의 검열과 급습에 맞서  당시 체계적이지 않았던 노동운동을 주도하게 되는 두 청년!    새로운 세상을 꿈꾸던 청년 마르크스를 세기의 사상가로 이끈 사랑과 우정    르네상스 이후 가장 완전한 이론적, 정치적 변화를 이끈 오만하지만  열정적이며 뛰어난 통찰력을 지닌 역사적 인물, 카를 마르크스와 프리드리히 엥겔스!  두 친구의 젊은 날의 이야기가 시작된다.",
엔테베 작전,Entebbe,호세 파딜라,2018-06-07,"하이재킹,항공기,유대인,이스라엘,팔레스타인,중동분쟁,인질극,엔테베",1976년 6월 27일 파리에서 출발한 항공기가 납치되어 우간다 엔테베 공항에 억류된다. 범인들은 유대인 승객을 인질로 삼고 이스라엘에 수감된 열 두 명의 팔레스타인 사람들과 그 지지자들의 석방을 요구한다.,
